repo_owner,repo_name,issue_number,pr_url,commit_url
grf-labs,grf,539,https://github.com/grf-labs/grf/pull/546,https://github.com/grf-labs/grf/commit/c779fb4a0222ccd7310231e02fb1dd277bee139d
grf-labs,grf,233,https://github.com/grf-labs/grf/pull/363,https://github.com/grf-labs/grf/commit/cddff60d3ad9da4a91fa71feba897cf82187fd9c
CasparCG,server,920,https://github.com/CasparCG/server/pull/922,https://github.com/CasparCG/server/commit/a7fb293dd8ba4ed5c3cafa3da35dbdf872371d84
lethal-guitar,RigelEngine,683,https://github.com/lethal-guitar/RigelEngine/pull/765,https://github.com/lethal-guitar/RigelEngine/commit/5862d469bbf776d104267390450d06196f8af486
v6d-io,v6d,1727,https://github.com/v6d-io/v6d/pull/1731,https://github.com/v6d-io/v6d/commit/81e80e30abee322124e75fbb0db4613cdf20386e
v6d-io,v6d,1631,https://github.com/v6d-io/v6d/pull/1646,https://github.com/v6d-io/v6d/commit/b68220f87669500b918de82e41ea3a74b87bad03
v6d-io,v6d,593,https://github.com/v6d-io/v6d/pull/594,https://github.com/v6d-io/v6d/commit/0bd9538fa8b934f19353640ae1cc7d108d57f8b0
Vector35,binaryninja-api,1093,https://github.com/Vector35/binaryninja-api/pull/1172,https://github.com/Vector35/binaryninja-api/commit/6c554162b307ba06102038f62113f5c336eab8a1
Vector35,binaryninja-api,834,https://github.com/Vector35/binaryninja-api/pull/4581,https://github.com/Vector35/binaryninja-api/commit/02d1ed019390cce8adabbb146e744348e955d3d2
Komet,MediaElch,1640,https://github.com/Komet/MediaElch/pull/1643,https://github.com/Komet/MediaElch/commit/a618545b05e98d9f3a0ca86738bdc58178d75c44
mockingbirdnest,Principia,2953,https://github.com/mockingbirdnest/Principia/pull/2960,https://github.com/mockingbirdnest/Principia/commit/2c7f44c717fc333bd98e8cd2d0748aaba4db7448
stan-dev,math,1633,https://github.com/stan-dev/math/pull/1632,https://github.com/stan-dev/math/commit/75bcadb96cc061cf3dea20c68c5847bbdc09a3ce
stan-dev,math,1585,https://github.com/stan-dev/math/pull/1586,https://github.com/stan-dev/math/commit/b295b04f0d3500e50740e8aff32ff7c22d04af76
speedb-io,speedb,417,https://github.com/speedb-io/speedb/pull/403,https://github.com/speedb-io/speedb/commit/a42ec6ca0b276b602a21f7af1ca8d627c5c079cf
